skewness,variance,kurtosis,shannon_entropy,label
0.549671,0.187618,0.308144,0.994394,0
0.486174,0.202472,0.251629,1.018497,1
0.564769,0.161884,0.323875,0.835915,0
0.652303,0.213794,0.361274,0.853916,1
0.476585,0.170679,0.245063,1.036052,1
0.476586,0.243186,0.263687,0.865928,1
0.657921,0.164847,0.276102,0.917346,1
0.576743,0.185353,0.335024,0.930692,1
0.453052,0.196101,0.299351,0.936542,1
0.554256,0.205708,0.291873,0.975995,0
0.5406643,0.0737898,0.4737626,0.2418021,0
0.7111369,0.039798,0.5942312,0.0673097,1
0.5595391,0.8675701,0.6431284,0.6874507,0
0.7368325,0.8381181,0.4190201,0.6148774,1
0.192338,0.2588158,0.3332277,0.0623187,1
0.7724061,0.6284708,0.2931563,0.4675272,1
0.6394838,0.2291755,0.4858707,0.7622856,0
0.8566669,0.3864993,0.8880883,0.3425808,1
0.5691032,0.9629323,0.5307418,0.0127083,0
0.1771149,0.284539,0.4018937,0.0230696,0
0.7760233,0.1880735,0.3203945,0.3383032,1
0.76039,0.3024015,0.1762972,0.8425348,1
0.8878438,0.7037112,0.790724,0.7730612,1
0.6658267,0.6418148,0.1385854,0.1652802,1
0.4713525,0.2936069,0.4440247,0.2851375,0
0.6856478,0.1062371,0.3455017,0.9029309,0
0.613759,0.5760818,0.2037534,0.7673901,1
0.5665874,0.1660423,0.1166088,0.2090741,0
0.5387184,0.7294307,0.9114836,0.3889429,1
0.6784472,0.4835938,0.8441982,0.0259565,0
0.4727277,0.2955619,0.8558175,0.5037244,0
0.9597912,0.9706629,0.7780848,0.9659528,1
0.7976052,0.8050472,0.2587976,0.8650037,0
0.6305732,0.5778841,0.4530322,0.7308666,0
0.947578,0.5376288,0.0478627,0.5639975,0
0.7189889,0.762214,0.0949829,0.3128933,0
0.8671751,0.2359221,0.7910249,0.1440986,0
0.6292329,0.479521,0.986507,0.8357432,1
0.5795835,0.3963048,0.9486945,0.4113953,0
0.5801153,0.4393681,0.7001443,0.6118979,0
0.4404325,0.8987563,0.273343,0.7507114,1
0.3805463,0.212994,0.3872041,0.668706,0
0.6491405,0.8760109,0.2056382,0.5309982,0
0.603575,0.975883,0.5000237,0.4507395,0
0.7152205,0.9442311,0.1182421,0.4271307,1
0.5675966,0.5570406,0.7401259,0.8776454,0
0.4798343,0.0975004,0.8346328,0.4776677,0
0.6482281,0.5050875,0.949458,0.9282662,0
0.1181894,0.5632349,0.0041796,0.7174544,1
0.0704675,0.7900204,0.2864608,0.3088,0
0.2314932,0.4094722,0.533326,0.3248495,1
0.4118973,0.3208251,0.9092801,0.6145472,0
0.6265748,0.5756829,0.59618,0.4998532,1
0.4842378,0.6274761,0.9723369,0.2026597,1
0.9714528,0.995346,0.9408557,0.138246,1
0.624959,0.503948,0.1644448,0.4253867,0
0.6866873,0.5306661,0.8704639,0.7019348,0
0.0446565,0.0758656,0.1654755,0.2988539,0
0.5368746,0.2833855,0.4638669,0.381446,0
0.4011827,0.791261,0.5116306,0.2930235,1
0.7889427,0.1161438,0.4765188,0.354339,0
0.0427548,0.2526358,0.2328673,0.2493427,1
0.9470736,0.8761692,0.6768187,0.4965253,0
0.1214109,0.5127895,0.452105,0.5976488,1
0.7582097,0.7482769,0.9372211,0.7030944,0
0.9317774,0.8243288,0.9569402,0.8683086,0
0.0790979,0.5150746,0.3704157,0.3426221,0
0.1365481,0.9370212,0.7668651,0.0780365,1
0.0343598,0.591469,0.0211272,0.1436824,1
0.7671045,0.502293,0.0360469,0.6377665,1
0.023807,0.8783494,0.5145972,0.8003791,0
0.4179903,0.0783575,0.6463657,0.0348937,0
0.5216046,0.8874739,0.1682067,0.6107249,1
0.6665428,0.4678596,0.8440111,0.1876615,1
0.045268,0.6820109,0.5163855,0.2197763,0
0.0027544,0.3118822,0.4100635,0.9669121,1
0.0529539,0.4545948,0.8377102,0.6850913,1
0.5729332,0.6483126,0.3409308,0.1003143,0
0.6295224,0.7969948,0.2240445,0.4001201,0
0.1628528,0.0590936,0.1051655,0.8229846,0
0.8861171,0.4080186,0.3100547,0.5927166,0
0.0414502,0.6491425,0.4014617,0.976489,1
0.8444489,0.0586791,0.5219467,0.4816382,0
0.1770733,0.4095597,0.6739384,0.3185578,1
0.9569009,0.8075572,0.4381638,0.6159897,0
0.5044883,0.4504164,0.9814232,0.5644023,0
0.8717351,0.0059188,0.5336591,0.8551935,0
